name,line,line_,color,longitude,latitude,poiid,is_transfer_station
苹果园,S1线,S1线,B35A1F,116.178945,39.925686,BV10013454,1
金安桥,S1线,S1线,B35A1F,116.162586,39.923298,BV11494889,1
四道桥,S1线,S1线,B35A1F,116.134010,39.916030,BV10813547,0
桥户营,S1线,S1线,B35A1F,116.125809,39.912383,BV10813541,0
上岸,S1线,S1线,B35A1F,116.122225,39.905138,BV10813543,0
栗园庄,S1线,S1线,B35A1F,116.123254,39.895780,BV10813544,0
小园,S1线,S1线,B35A1F,116.114443,39.890465,BV10813542,0
石厂,S1线,S1线,B35A1F,116.100334,39.889378,BV10813546,0
古城,地铁1号线(八通线),地铁1号线(八通线),CC0000,116.190337,39.907450,BV10000295,0
八角游乐园,地铁1号线(八通线),地铁1号线(八通线),CC0000,116.212684,39.907442,BV10013455,0
八宝山,地铁1号线(八通线),地铁1号线(八通线),CC0000,116.235948,39.907440,BV10000302,0
玉泉路,地铁1号线(八通线),地铁1号线(八通线),CC0000,116.252888,39.907433,BV10013456,0
五棵松,地铁1号线(八通线),地铁1号线(八通线),CC0000,116.273987,39.907456,BV10013457,0
万寿路,地铁1号线(八通线),地铁1号线(八通线),CC0000,116.294765,39.907474,BV10013458,0
公主坟,地铁1号线(八通线),地铁1号线(八通线),CC0000,116.309919,39.907469,BV10000306,1
军事博物馆,地铁1号线(八通线),地铁1号线(八通线),CC0000,116.321459,39.907422,BV10000188,1
木樨地,地铁1号线(八通线),地铁1号线(八通线),CC0000,116.337583,39.907379,BV10013459,1
南礼士路,地铁1号线(八通线),地铁1号线(八通线),CC0000,116.352583,39.907234,BV10000309,0
复兴门,地铁1号线(八通线),地铁1号线(八通线),CC0000,116.356866,39.907242,BV10007375,1
西单,地铁1号线(八通线),地铁1号线(八通线),CC0000,116.374072,39.907383,BV10006791,1
天安门西,地铁1号线(八通线),地铁1号线(八通线),CC0000,116.391278,39.907472,BV10005941,0
天安门东,地铁1号线(八通线),地铁1号线(八通线),CC0000,116.401216,39.907780,BV10006499,0
王府井,地铁1号线(八通线),地铁1号线(八通线),CC0000,116.411571,39.908069,BV10006496,1
东单,地铁1号线(八通线),地铁1号线(八通线),CC0000,116.418480,39.908325,BV10013440,1
建国门,地铁1号线(八通线),地铁1号线(八通线),CC0000,116.435806,39.908501,BV10013432,1
永安里,地铁1号线(八通线),地铁1号线(八通线),CC0000,116.450497,39.908454,BV10013460,0
国贸,地铁1号线(八通线),地铁1号线(八通线),CC0000,116.461841,39.909104,BV10013461,1
大望路,地铁1号线(八通线),地铁1号线(八通线),CC0000,116.475783,39.908287,BV10013364,1
四惠,地铁1号线(八通线),地铁1号线(八通线),CC0000,116.495456,39.908749,BV10000275,0
四惠东,地铁1号线(八通线),地铁1号线(八通线),CC0000,116.515664,39.908495,BV10007589,0
高碑店,地铁1号线(八通线),地铁1号线(八通线),CC0000,116.531421,39.909448,BV10013517,0
传媒大学,地铁1号线(八通线),地铁1号线(八通线),CC0000,116.554639,39.909215,BV10013518,0
双桥,地铁1号线(八通线),地铁1号线(八通线),CC0000,116.576760,39.910140,BV10013519,0
管庄,地铁1号线(八通线),地铁1号线(八通线),CC0000,116.599002,39.909090,BV10004294,0
八里桥,地铁1号线(八通线),地铁1号线(八通线),CC0000,116.618658,39.906121,BV10001118,0
通州北苑,地铁1号线(八通线),地铁1号线(八通线),CC0000,116.637252,39.903864,BV10004143,0
果园,地铁1号线(八通线),地铁1号线(八通线),CC0000,116.646621,39.893329,BV10004141,0
九棵树,地铁1号线(八通线),地铁1号线(八通线),CC0000,116.657533,39.890278,BV10001298,0
梨园,地铁1号线(八通线),地铁1号线(八通线),CC0000,116.668720,39.883677,BV10002455,0
临河里,地铁1号线(八通线),地铁1号线(八通线),CC0000,116.678811,39.875496,BV10013520,0
土桥,地铁1号线(八通线),地铁1号线(八通线),CC0000,116.686349,39.871926,BV10004138,0
花庄,地铁1号线(八通线),地铁1号线(八通线),CC0000,116.695495,39.856722,BV11253781,1
环球度假区,地铁1号线(八通线),地铁1号线(八通线),CC0000,116.679099,39.849152,BV10850689,1
积水潭,地铁2号线,地铁2号线,0065B3,116.373126,39.948653,BV10013430,1
鼓楼大街,地铁2号线,地铁2号线,0065B3,116.393776,39.948972,BV10013431,1
安定门,地铁2号线,地铁2号线,0065B3,116.408240,39.949180,BV10001936,0
雍和宫,地铁2号线,地铁2号线,0065B3,116.417069,39.949336,BV10006563,1
