name,line,line_,color,longitude,latitude,poiid,is_transfer_station
汉口北,轨道交通1号线,轨道交通1号线,3080B7,114.329481,30.711953,BV10060938,0
滠口新城,轨道交通1号线,轨道交通1号线,3080B7,114.342372,30.684553,BV10060937,0
滕子岗,轨道交通1号线,轨道交通1号线,3080B7,114.341474,30.674527,BV10060936,0
堤角,轨道交通1号线,轨道交通1号线,3080B7,114.338273,30.665863,BV10060935,0
新荣,轨道交通1号线,轨道交通1号线,3080B7,114.332763,30.657595,BV10060934,1
丹水池,轨道交通1号线,轨道交通1号线,3080B7,114.330017,30.643386,BV10060933,0
徐州新村,轨道交通1号线,轨道交通1号线,3080B7,114.322936,30.631171,BV10060932,0
二七路,轨道交通1号线,轨道交通1号线,3080B7,114.318749,30.625032,BV10420613,0
头道街,轨道交通1号线,轨道交通1号线,3080B7,114.313923,30.617818,BV10060931,0
黄浦路,轨道交通1号线,轨道交通1号线,3080B7,114.308156,30.608404,BV10060930,1
三阳路,轨道交通1号线,轨道交通1号线,3080B7,114.301348,30.598718,BV10057861,1
大智路,轨道交通1号线,轨道交通1号线,3080B7,114.295038,30.592581,BV10057868,1
循礼门,轨道交通1号线,轨道交通1号线,3080B7,114.285992,30.585234,BV10060903,1
友谊路,轨道交通1号线,轨道交通1号线,3080B7,114.278415,30.580865,BV10057864,0
利济北路,轨道交通1号线,轨道交通1号线,3080B7,114.270119,30.577433,BV10058518,0
崇仁路,轨道交通1号线,轨道交通1号线,3080B7,114.261901,30.573909,BV10060929,0
硚口路,轨道交通1号线,轨道交通1号线,3080B7,114.250444,30.571547,BV10060928,0
太平洋,轨道交通1号线,轨道交通1号线,3080B7,114.240741,30.574025,BV10060927,0
宗关,轨道交通1号线,轨道交通1号线,3080B7,114.224975,30.580306,BV10060863,1
汉西一路,轨道交通1号线,轨道交通1号线,3080B7,114.218822,30.585491,BV10059569,0
古田四路,轨道交通1号线,轨道交通1号线,3080B7,114.211532,30.589347,BV10060926,0
古田三路,轨道交通1号线,轨道交通1号线,3080B7,114.204740,30.593382,BV10060925,0
古田二路,轨道交通1号线,轨道交通1号线,3080B7,114.196667,30.597536,BV10060924,0
古田一路,轨道交通1号线,轨道交通1号线,3080B7,114.183062,30.604521,BV10060923,0
舵落口,轨道交通1号线,轨道交通1号线,3080B7,114.169464,30.609907,BV10060922,0
竹叶海,轨道交通1号线,轨道交通1号线,3080B7,114.163868,30.615064,BV10060921,0
额头湾,轨道交通1号线,轨道交通1号线,3080B7,114.155941,30.618460,BV10060920,0
五环大道,轨道交通1号线,轨道交通1号线,3080B7,114.138907,30.617699,BV10058111,0
东吴大道,轨道交通1号线,轨道交通1号线,3080B7,114.128567,30.624968,BV10058113,0
码头潭公园,轨道交通1号线,轨道交通1号线,3080B7,114.123644,30.631684,BV10854640,1
三店,轨道交通1号线,轨道交通1号线,3080B7,114.120804,30.649056,BV10854639,0
径河,轨道交通1号线,轨道交通1号线,3080B7,114.120828,30.659055,BV10854641,0
佛祖岭,轨道交通2号线,轨道交通2号线,EB81B9,114.439777,30.438671,BV10890079,0
